part,pot,criticality,slack_potential,struct_potential,fanout,window_size,prior,model_prob,accepted,area_impr_pct,delay_delta,node
0,0.200000,1.000000,0.000000,1.000000,1,16,0.500000,0.500000,0,-3.728223,2.970016,n18
0,0.200000,1.000000,0.000000,1.000000,1,16,0.500000,0.500000,0,-2.787456,5.429993,n27
0,0.200000,1.000000,0.000000,1.000000,1,16,0.500000,0.500000,0,-3.728223,2.970016,n30
0,0.156398,1.000000,0.000000,0.781991,1,16,0.500000,0.500000,0,-5.574913,2.970016,n19
0,0.156398,1.000000,0.000000,0.781991,1,16,0.500000,0.500000,0,-0.000000,5.680008,n22
0,0.156398,1.000000,0.000000,0.781991,1,16,0.500000,0.500000,0,-3.728223,2.970016,n26
0,0.156398,1.000000,0.000000,0.781991,1,16,0.500000,0.500000,0,-0.000000,5.680008,n32
0,0.156398,1.000000,0.000000,0.781991,1,16,0.500000,0.500000,0,-0.000000,5.680008,n37
0,0.156398,1.000000,0.000000,0.781991,1,16,0.500000,0.500000,0,-5.574913,2.970016,n38
1,0.836335,0.000000,1.000000,0.766193,2,16,0.500000,0.593272,0,-5.574913,2.970016,n15
2,0.750000,0.500000,0.500000,1.000000,1,16,0.500000,0.558028,0,-3.728223,2.970016,n33
2,0.750000,0.500000,0.500000,1.000000,1,16,0.500000,0.558028,0,-0.000000,0.000000,n34
2,0.750000,0.500000,0.500000,1.000000,1,16,0.500000,0.558028,0,0.000000,0.000000,n43
2,0.640995,0.500000,0.500000,0.781991,1,16,0.500000,0.541844,0,-0.000000,5.680008,n16
2,0.640995,0.500000,0.500000,0.781991,1,16,0.500000,0.541844,0,0.000000,0.000000,n21
2,0.640995,0.500000,0.500000,0.781991,1,16,0.500000,0.541844,0,0.000000,0.000000,n36
2,0.640995,0.500000,0.500000,0.781991,1,16,0.500000,0.541844,0,0.000000,0.000000,n40
2,0.640995,0.500000,0.500000,0.781991,1,16,0.055556,0.350106,0,0.000000,0.000000,n41
2,0.640995,0.500000,0.500000,0.781991,1,16,0.055556,0.350106,0,0.000000,0.000000,n44
2,0.640995,0.500000,0.500000,0.781991,1,16,0.055556,0.350106,0,0.000000,0.000000,n45
0,0.153239,1.000000,0.000000,0.766193,2,16,0.027972,0.202835,0,-5.574913,2.970016,n20
1,0.319905,0.000000,1.000000,0.028436,3,16,0.333333,0.336814,0,-5.574913,2.970016,n13
0,0.153239,1.000000,0.000000,0.766193,2,16,0.023810,0.167261,0,-5.574913,2.970016,n23
0,0.153239,1.000000,0.000000,0.766193,2,16,0.023810,0.167261,0,-3.728223,2.970016,n24
2,0.633096,0.500000,0.500000,0.766193,2,16,0.030303,0.219259,0,3.763066,0.220001,n35
2,0.633096,0.500000,0.500000,0.766193,2,16,0.030303,0.219259,0,-0.000000,5.680008,n39
0,0.153239,1.000000,0.000000,0.766193,2,16,0.017857,0.124437,0,-2.787456,5.429993,n29
0,0.153239,1.000000,0.000000,0.766193,2,16,0.017857,0.124437,0,0.000000,0.000000,n42
0,0.007267,1.000000,0.000000,0.036335,2,16,0.071429,0.121722,0,-1.010453,4.029999,n17
0,0.007267,1.000000,0.000000,0.036335,2,16,0.071429,0.121722,0,-3.728223,2.970016,n25
0,0.005687,1.000000,0.000000,0.028436,3,16,0.071429,0.117239,0,-2.787456,5.429993,n28
0,0.004739,1.000000,0.000000,0.023697,4,16,0.030075,0.100197,0,-0.000000,5.680008,n14
0,0.000000,1.000000,0.000000,0.000000,3,16,0.030075,0.103878,0,-1.010453,4.029999,n31
0,0.360000,0.800000,0.200000,1.000000,1,16,0.500000,0.196414,0,5.152814,6.260010,n278
0,0.360000,0.800000,0.200000,1.000000,1,16,0.500000,0.196414,0,3.961983,5.029999,n339
0,0.360000,0.800000,0.200000,1.000000,1,16,0.500000,0.196414,0,-0.346627,0.000000,n393
0,0.360000,0.800000,0.200000,1.000000,1,16,0.500000,0.196414,0,7.486023,9.850006,n529
0,0.360000,0.800000,0.200000,1.000000,1,16,0.500000,0.196414,0,-0.506895,0.000000,n537
0,0.360000,0.800000,0.200000,1.000000,1,16,0.500000,0.196414,0,1.287738,5.170013,n570
0,0.360000,0.800000,0.200000,1.000000,1,16,0.500000,0.196414,0,1.332464,5.550018,n610
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,1.833768,9.600006,n47
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,2.677972,1.540009,n110
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,-2.491614,1.510010,n111
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,0.447261,0.760010,n128
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,1,0.000000,0.000000,n170
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,-0.054044,0.000000,n206
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,1,0.441670,0.000000,n207
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,0.501657,0.760010,n209
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,1.340247,0.760010,n213
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,-0.649533,0.000000,n233
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,1,0.003744,0.000000,n234
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,0.453005,0.760010,n269
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,1,0.649557,0.000000,n270
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,2.200701,2.000000,n273
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,-0.655688,0.000000,n274
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,-0.548291,0.000000,n277
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,-0.989185,1.820007,n279
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,-1.151223,2.320038,n328
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,-1.307608,0.760010,n337
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,0.148849,0.760010,n338
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,3.063647,5.320007,n344
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,2.960018,5.320007,n396
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,1.556318,10.890015,n402
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,0.565249,0.940002,n408
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,3.404680,6.720001,n423
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,0.847873,0.760010,n530
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,5.358556,6.400024,n532
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,3.218148,3.560028,n533
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,-0.250594,0.000000,n534
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,0.904398,0.940002,n539
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,4.052832,6.299988,n540
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,1.752270,5.029999,n558
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,0.604816,0.869995,n559
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,1.006142,0.760010,n560
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,-1.100350,0.000000,n574
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,6.200776,7.430023,n575
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,-0.101745,0.529999,n578
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,3.911520,6.399994,n584
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,0.199721,0.779999,n588
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,5.716547,9.179993,n589
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,4.668953,3.950012,n590
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,0.237404,2.500000,n591
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,2.852621,7.160004,n592
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,3.348155,7.750000,n598
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,1.096582,0.090027,n599
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,2.396654,3.560028,n600
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,1.974601,9.850006,n606
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,2.351434,9.179993,n607
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,-4.391981,1.140015,n613
0,0.313786,0.800000,0.200000,0.768931,2,16,0.500000,0.186669,0,-1.009911,0.000000,n45
0,0.313786,0.800000,0.200000,0.768931,2,16,0.500000,0.186669,1,-1.757923,-0.169983,n54
0,0.313786,0.800000,0.200000,0.768931,2,16,0.500000,0.186669,0,9.854278,26.540009,n65
0,0.313786,0.800000,0.200000,0.768931,2,16,0.500000,0.186669,0,2.405244,1.979980,n69
0,0.313786,0.800000,0.200000,0.768931,2,16,0.500000,0.186669,1,0.048142,0.000000,n86
0,0.313786,0.800000,0.200000,0.768931,2,16,0.500000,0.186669,0,-0.392731,0.000000,n112
0,0.313786,0.800000,0.200000,0.768931,2,16,0.500000,0.186669,0,8.388137,13.599976,n198
0,0.313786,0.800000,0.200000,0.768931,2,16,0.500000,0.186669,0,3.025138,8.559998,n199
0,0.313786,0.800000,0.200000,0.768931,2,16,0.500000,0.186669,0,2.317482,1.979980,n217
0,0.313786,0.800000,0.200000,0.768931,2,16,0.500000,0.186669,0,-0.333451,0.880005,n280
0,0.313786,0.800000,0.200000,0.768931,2,16,0.500000,0.186669,1,0.440896,0.000000,n329
0,0.313786,0.800000,0.200000,0.768931,2,16,0.500000,0.186669,1,-1.520198,-0.420013,n399
0,0.313786,0.800000,0.200000,0.768931,2,16,0.500000,0.186669,0,4.572947,4.130005,n472
0,0.313786,0.800000,0.200000,0.768931,2,16,0.500000,0.186669,0,2.864736,4.130005,n536
0,0.313786,0.800000,0.200000,0.768931,2,16,0.500000,0.186669,0,6.818182,11.029999,n571
0,0.280000,0.900000,0.100000,1.000000,1,16,0.500000,0.174685,0,-1.165689,0.000000,n288
0,0.280000,0.900000,0.100000,1.000000,1,16,0.500000,0.174685,1,0.000000,0.000000,n364
0,0.280000,0.900000,0.100000,1.000000,1,16,0.500000,0.174685,0,1.854839,1.350006,n496
0,0.280000,0.900000,0.100000,1.000000,1,16,0.500000,0.174685,0,2.181085,0.630005,n541
0,0.280000,0.900000,0.100000,1.000000,1,16,0.500000,0.174685,0,0.000000,0.000000,n655
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,2.445015,4.829987,n118
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,-0.394062,4.829987,n119
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,0.478372,1.300018,n120
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,2.708944,3.360016,n127
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,4.919355,7.309998,n129
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,1,1.024560,0.000000,n138
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,-2.262921,0.000000,n224
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,1,0.000000,0.000000,n275
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,2.659210,5.910004,n380
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,-0.149997,1.429993,n381
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,-0.837022,0.000000,n497
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,5.372123,9.140015,n542
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,3.225866,5.619995,n552
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,3.922150,4.520020,n561
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,5.792485,5.760010,n562
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,3.333272,5.760010,n563
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,5.305457,7.750000,n583
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,1,0.000000,0.000000,n653
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,0.000000,0.000000,n656
1,0.940000,0.200000,0.800000,1.000000,1,16,0.500000,0.383645,0,0.000000,0.000000,n427
1,0.910000,0.300000,0.700000,1.000000,1,16,0.500000,0.363323,0,-0.246292,0.000000,n412
1,0.910000,0.300000,0.700000,1.000000,1,16,0.500000,0.363323,0,0.000000,0.000000,n580
1,0.910000,0.300000,0.700000,1.000000,1,16,0.500000,0.363323,1,1.622192,0.630005,n615
1,0.880000,0.400000,0.600000,1.000000,1,16,0.500000,0.343477,0,0.000000,0.000000,n307
1,0.880000,0.400000,0.600000,1.000000,1,16,0.500000,0.343477,0,0.000000,0.000000,n331
1,0.880000,0.400000,0.600000,1.000000,1,16,0.500000,0.343477,0,0.000000,0.000000,n485
1,0.880000,0.400000,0.600000,1.000000,1,16,0.500000,0.343477,0,-0.256000,0.000000,n608
1,0.819180,0.100000,0.900000,0.784543,1,16,0.500000,0.373364,0,0.000000,0.000000,n165
1,0.819180,0.100000,0.900000,0.784543,1,16,0.500000,0.373364,0,-0.199529,0.000000,n538
1,0.789180,0.200000,0.800000,0.784543,1,16,0.500000,0.353274,1,0.045176,0.000000,n444
1,0.789180,0.200000,0.800000,0.784543,1,16,0.500000,0.353274,0,-0.201503,0.000000,n475
1,0.789180,0.200000,0.800000,0.784543,1,16,0.500000,0.353274,0,-0.252349,0.000000,n531
1,0.789180,0.200000,0.800000,0.784543,1,16,0.500000,0.353274,0,0.000000,0.000000,n548
1,0.759180,0.300000,0.700000,0.784543,1,16,0.500000,0.333690,0,0.000000,0.000000,n211
1,0.759180,0.300000,0.700000,0.784543,1,16,0.500000,0.333690,0,0.000000,0.000000,n238
1,0.759180,0.300000,0.700000,0.784543,1,16,0.500000,0.333690,0,0.000000,0.000000,n404
1,0.759180,0.300000,0.700000,0.784543,1,16,0.500000,0.333690,1,1.001864,1.610016,n405
1,0.759180,0.300000,0.700000,0.784543,1,16,0.500000,0.333690,0,0.000000,0.000000,n428
1,0.759180,0.300000,0.700000,0.784543,1,16,0.500000,0.333690,1,3.484944,4.719971,n430
2,0.750000,0.500000,0.500000,1.000000,1,16,0.500000,0.197456,0,-0.987445,0.529999,n78
2,0.750000,0.500000,0.500000,1.000000,1,16,0.500000,0.197456,0,-0.839624,0.000000,n157
2,0.750000,0.500000,0.500000,1.000000,1,16,0.500000,0.197456,0,0.000000,0.000000,n291
2,0.750000,0.500000,0.500000,1.000000,1,16,0.500000,0.197456,0,-0.731222,0.000000,n319
2,0.750000,0.500000,0.500000,1.000000,1,16,0.500000,0.197456,0,0.000000,0.000000,n394
2,0.750000,0.500000,0.500000,1.000000,1,16,0.500000,0.197456,0,1.988687,1.429993,n438
2,0.750000,0.500000,0.500000,1.000000,1,16,0.500000,0.197456,0,-0.313381,0.000000,n648
2,0.700000,0.600000,0.400000,1.000000,1,16,0.500000,0.181602,0,-0.425725,0.000000,n38
2,0.700000,0.600000,0.400000,1.000000,1,16,0.500000,0.181602,0,-0.203008,-2.299988,n202
2,0.700000,0.600000,0.400000,1.000000,1,16,0.500000,0.181602,1,0.102489,0.000000,n312
2,0.700000,0.600000,0.400000,1.000000,1,16,0.500000,0.181602,1,0.007892,0.000000,n435
2,0.700000,0.600000,0.400000,1.000000,1,16,0.500000,0.181602,0,1.833034,5.440002,n449
2,0.700000,0.600000,0.400000,1.000000,1,16,0.500000,0.181602,0,0.000000,0.000000,n455
2,0.700000,0.600000,0.400000,1.000000,1,16,0.500000,0.181602,0,-1.793572,0.000000,n462
2,0.700000,0.600000,0.400000,1.000000,1,16,0.500000,0.181602,1,1.209526,0.000000,n527
2,0.700000,0.600000,0.400000,1.000000,1,16,0.500000,0.181602,0,0.846848,2.150024,n593
2,0.650000,0.700000,0.300000,1.000000,1,16,0.500000,0.166756,0,-0.101861,0.000000,n33
2,0.650000,0.700000,0.300000,1.000000,1,16,0.500000,0.166756,0,-1.164416,0.960022,n108
2,0.650000,0.700000,0.300000,1.000000,1,16,0.500000,0.166756,0,0.000000,0.000000,n136
2,0.650000,0.700000,0.300000,1.000000,1,16,0.500000,0.166756,1,0.101861,0.000000,n247
2,0.650000,0.700000,0.300000,1.000000,1,16,0.500000,0.166756,0,-0.047984,0.000000,n251
2,0.650000,0.700000,0.300000,1.000000,1,16,0.500000,0.166756,0,-0.105964,0.000000,n256
2,0.650000,0.700000,0.300000,1.000000,1,16,0.500000,0.166756,0,-1.069636,0.000000,n375
2,0.650000,0.700000,0.300000,1.000000,1,16,0.500000,0.166756,0,-0.213927,0.000000,n425
2,0.650000,0.700000,0.300000,1.000000,1,16,0.500000,0.166756,0,0.000000,0.000000,n486
2,0.650000,0.700000,0.300000,1.000000,1,16,0.500000,0.166756,0,-0.589799,0.000000,n489
2,0.650000,0.700000,0.300000,1.000000,1,16,0.500000,0.166756,0,-0.589799,0.000000,n546
2,0.650000,0.700000,0.300000,1.000000,1,16,0.500000,0.166756,0,-1.917348,1.710022,n595
2,0.650000,0.700000,0.300000,1.000000,1,16,0.500000,0.166756,0,-0.533819,0.000000,n631
2,0.642272,0.500000,0.500000,0.784543,1,16,0.500000,0.188106,0,-1.431513,0.000000,n63
2,0.642272,0.500000,0.500000,0.784543,1,16,0.500000,0.188106,0,0.000000,0.000000,n64
2,0.642272,0.500000,0.500000,0.784543,1,16,0.500000,0.188106,0,-1.967331,1.710022,n79
2,0.642272,0.500000,0.500000,0.784543,1,16,0.500000,0.188106,0,-1.483496,0.960022,n83
2,0.642272,0.500000,0.500000,0.784543,1,16,0.500000,0.188106,0,-1.701422,0.000000,n149
2,0.642272,0.500000,0.500000,0.784543,1,16,0.500000,0.188106,0,-1.703421,0.000000,n150
2,0.642272,0.500000,0.500000,0.784543,1,16,0.500000,0.188106,0,0.895695,1.970032,n180
2,0.642272,0.500000,0.500000,0.784543,1,16,0.500000,0.188106,1,0.053982,0.000000,n220
2,0.642272,0.500000,0.500000,0.784543,1,16,0.500000,0.188106,0,-1.224245,0.000000,n232
2,0.642272,0.500000,0.500000,0.784543,1,16,0.500000,0.188106,1,0.264053,0.000000,n315
2,0.642272,0.500000,0.500000,0.784543,1,16,0.500000,0.188106,1,0.002006,0.000000,n320
2,0.642272,0.500000,0.500000,0.784543,1,16,0.500000,0.188106,0,-1.494274,0.000000,n322
2,0.642272,0.500000,0.500000,0.784543,1,16,0.500000,0.188106,0,0.000000,0.000000,n326
2,0.642272,0.500000,0.500000,0.784543,1,16,0.500000,0.188106,1,0.044126,0.000000,n336
2,0.642272,0.500000,0.500000,0.784543,1,16,0.500000,0.188106,0,0.000000,0.000000,n365
2,0.642272,0.500000,0.500000,0.784543,1,16,0.500000,0.188106,1,0.266881,0.000000,n395
2,0.642272,0.500000,0.500000,0.784543,1,16,0.500000,0.188106,0,-0.488914,1.970032,n415
2,0.642272,0.500000,0.500000,0.784543,1,16,0.500000,0.188106,0,-5.460545,-4.859985,n439
2,0.642272,0.500000,0.500000,0.784543,1,16,0.500000,0.188106,0,-1.865116,0.570007,n464
2,0.642272,0.500000,0.500000,0.784543,1,16,0.500000,0.188106,0,0.000000,0.000000,n465
2,0.642272,0.500000,0.500000,0.784543,1,16,0.500000,0.188106,1,0.064384,0.000000,n479
2,0.642272,0.500000,0.500000,0.784543,1,16,0.500000,0.188106,0,-0.646265,0.000000,n487
2,0.642272,0.500000,0.500000,0.784543,1,16,0.500000,0.188106,0,-0.642239,0.000000,n520
2,0.642272,0.500000,0.500000,0.784543,1,16,0.500000,0.188106,1,0.106704,0.000000,n522
2,0.642272,0.500000,0.500000,0.784543,1,16,0.500000,0.188106,0,0.044340,2.180023,n557
2,0.642272,0.500000,0.500000,0.784543,1,16,0.500000,0.188106,0,-3.105790,2.180023,n582
2,0.642272,0.500000,0.500000,0.784543,1,16,0.500000,0.188106,0,-2.043654,0.000000,n605
2,0.642272,0.500000,0.500000,0.784543,1,16,0.500000,0.188106,0,0.000000,0.000000,n614
